iri,name
https://purl.org/bdot10k#object_108,budynki o trzech i więcej mieszkaniach
https://purl.org/bdot10k#object_116,budynki przemysłowe
https://purl.org/bdot10k#object_124,budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych
https://purl.org/bdot10k#object_120,budynki szkół i instytucji badawczych
https://purl.org/bdot10k#object_121,budynki szpitali i zakładów opieki medycznej
https://purl.org/bdot10k#object_111,"budynki zakwaterowania turystycznego,pozostałe"
https://purl.org/bdot10k#object_109,budynki zbiorowego zamieszkania
https://purl.org/bdot10k#object_114,"budynki łączności, dworców i terminali"
https://purl.org/bdot10k#object_270,bunkier lub schron
https://purl.org/bdot10k#object_211,centrum handlowo‐usługowe
https://purl.org/bdot10k#object_151,chłodnia kominowa
https://purl.org/bdot10k#object_39,ciepłowniczy
https://purl.org/bdot10k#object_98,część kolonii
https://purl.org/bdot10k#object_94,część miasta
https://purl.org/bdot10k#object_100,część osady
https://purl.org/bdot10k#object_96,część wsi
https://purl.org/bdot10k#object_92,delegatura
https://purl.org/bdot10k#object_20,droga dojazdowa
https://purl.org/bdot10k#object_15,droga ekspresowa
https://purl.org/bdot10k#object_17,droga główna
https://purl.org/bdot10k#object_16,droga główna ruchu przyśpieszonego
https://purl.org/bdot10k#object_21,droga inna
https://purl.org/bdot10k#object_19,droga lokalna
https://purl.org/bdot10k#object_18,droga zbiorcza
https://purl.org/bdot10k#object_248,drzewo lub grupa drzew
https://purl.org/bdot10k#object_213,dworzec autobusowy
https://purl.org/bdot10k#object_91,dzielnica
https://purl.org/bdot10k#object_261,ekran akustyczny
https://purl.org/bdot10k#object_195,elektrociepłownia
https://purl.org/bdot10k#object_187,estrada
https://purl.org/bdot10k#object_271,"figura, kapliczka lub krzyż przydrożny"
https://purl.org/bdot10k#object_272,fontanna
https://purl.org/bdot10k#object_171,fosa sucha i wykop
https://purl.org/bdot10k#object_104,gajówka
https://purl.org/bdot10k#object_197,gazownia
https://purl.org/bdot10k#object_40,gazowy
https://purl.org/bdot10k#object_86,gmina miejska
https://purl.org/bdot10k#object_88,gmina miejsko‐wiejska
https://purl.org/bdot10k#object_87,gmina wiejska
https://purl.org/bdot10k#object_249,głaz narzutowy lub grupa głazów
https://purl.org/bdot10k#object_228,hotel lub motel
https://purl.org/bdot10k#object_199,huta
https://purl.org/bdot10k#object_105,inny obiekt
https://purl.org/bdot10k#object_135,jaz stały
https://purl.org/bdot10k#object_6,jezdnia autostrady
https://purl.org/bdot10k#object_12,jezdnia drogi dojazdowej
https://purl.org/bdot10k#object_7,jezdnia drogi ekspresowej
https://purl.org/bdot10k#object_9,jezdnia drogi głównej
https://purl.org/bdot10k#object_8,jezdnia drogi głównej ruchu przyśpieszonego
https://purl.org/bdot10k#object_13,jezdnia drogi innej
https://purl.org/bdot10k#object_11,jezdnia drogi lokalnej
https://purl.org/bdot10k#object_10,jezdnia drogi zbiorczej
https://purl.org/bdot10k#object_41,kanalizacyjny
https://purl.org/bdot10k#object_229,kemping
https://purl.org/bdot10k#object_174,kolej linowa
https://purl.org/bdot10k#object_97,kolonia
https://purl.org/bdot10k#object_152,komin przemysłowy
https://purl.org/bdot10k#object_200,kopalnia
https://purl.org/bdot10k#object_141,kort tenisowy
https://purl.org/bdot10k#object_142,kort tenisowy z czaszą foliową
https://purl.org/bdot10k#object_55,kosodrzewina
https://purl.org/bdot10k#object_56,krzewy
https://purl.org/bdot10k#object_251,kępa kosodrzewiny
https://purl.org/bdot10k#object_250,kępa krzewów
https://purl.org/bdot10k#object_128,kładka dla pieszych
https://purl.org/bdot10k#object_52,las
https://purl.org/bdot10k#object_103,leśniczówka
https://purl.org/bdot10k#object_33,linia elektroenergetyczna najwyższego napięcia
https://purl.org/bdot10k#object_36,linia elektroenergetyczna niskiego napięcia
https://purl.org/bdot10k#object_34,linia elektroenergetyczna wysokiego napięcia
https://purl.org/bdot10k#object_35,linia elektroenergetyczna średniego napięcia
https://purl.org/bdot10k#object_252,linia oddziałowa
https://purl.org/bdot10k#object_37,linia telekomunikacyjna
https://purl.org/bdot10k#object_214,lotnisko lub lądowisko
https://purl.org/bdot10k#object_153,maszt oświetleniowy
https://purl.org/bdot10k#object_154,maszt telekomunikacyjny
https://purl.org/bdot10k#object_253,mały las
https://purl.org/bdot10k#object_93,miasto
https://purl.org/bdot10k#object_89,miasto w gminie miejsko‐wiejskiej
https://purl.org/bdot10k#object_215,miejsce obsługi podróżnych
https://purl.org/bdot10k#object_238,miejsce pamięci narodowej
https://purl.org/bdot10k#object_273,mur historyczny
https://purl.org/bdot10k#object_42,naftowy
https://purl.org/bdot10k#object_125,"obiekty budowlane wpisane do rejestru zabytków i objęte indywidualną ochroną konserwatorską oraz nieruchome, archeologiczne dobra kultury"
https://purl.org/bdot10k#object_175,obrotnica kolejowa
https://purl.org/bdot10k#object_79,obszar Natura 2000
https://purl.org/bdot10k#object_90,obszar wiejski w gminie miejsko‐wiejskiej
https://purl.org/bdot10k#object_274,odosobniona mogiła
https://purl.org/bdot10k#object_254,odosobniona skała
https://purl.org/bdot10k#object_188,ogrodzenie trwałe
https://purl.org/bdot10k#object_223,ogród botaniczny
https://purl.org/bdot10k#object_57,ogród działkowy
https://purl.org/bdot10k#object_224,ogród zoologiczny
https://purl.org/bdot10k#object_118,ogólnodostępne obiekty kulturalne
https://purl.org/bdot10k#object_99,osada
https://purl.org/bdot10k#object_163,osadnik
https://purl.org/bdot10k#object_101,osiedle
https://purl.org/bdot10k#object_193,osiedle mieszkaniowe
https://purl.org/bdot10k#object_232,ośrodek naukowo‐badawczy
https://purl.org/bdot10k#object_225,ośrodek sportowo‐rekreacyjny
https://purl.org/bdot10k#object_230,ośrodek wypoczynkowy
https://purl.org/bdot10k#object_80,park krajobrazowy
https://purl.org/bdot10k#object_81,park narodowy
https://purl.org/bdot10k#object_255,pas krzewów lub żywopłot
https://purl.org/bdot10k#object_262,pas startowy
https://purl.org/bdot10k#object_25,pasaż
https://purl.org/bdot10k#object_83,państwo
https://purl.org/bdot10k#object_189,peron kolejowy
https://purl.org/bdot10k#object_68,"piarg, usypisko lub rumowisko skalne"
